api,method,function,js,json,tables,fields,md5
/api/FoxPro/migrate,GET,rmMigrateFoxPro,FoxPro.js,FoxPro.json,TODO,TODO,MANY
/api/accounts/,POST,rmAccountCreate,account.js,account.json,TODO,TODO,MANY
/api/accounts/,GET,rmGetAccountList,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/properties,GET,rmGetPropertyListName,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/properties-buildings-list,GET,rmGetPropertyBuildingList,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/facilities,GET,rmGetFacilityData,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/properties-buildings,GET,rmGetPropertyBuilding,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/schedule,GET,rmGetScheduleToDay,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/maids,GET,rmGetMaid,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/waiting-lists,GET,rmWaitListGetList,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/expense-types,GET,rmExpenseTypeList,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/property-types,GET,rmPropertyTypeList,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/room-types,GET,rmRoomTypeList,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/bank-accounts,GET,rmBankAccountList,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/child,POST,rmChildAccountCreate,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/child,GET,rmGetChildAccount,account.js,account.json,TODO,TODO,MANY
/api/accounts/:user_id/child,PUT,rmEditChildAccount,account.js,account.json,TODO,TODO,MANY
/api/accounts/:user_id/child,DELETE,rmDeleteChildAccount,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id/check-max-room,GET,rmCheckMaxRoomOfAccount,account.js,account.json,TODO,TODO,MANY
/api/accounts/create-demo,POST,rmCreateAccountDemo,account.js,account.json,TODO,TODO,MANY
/api/accounts/user-sc,GET,rmGetUserSC,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id,GET,rmGetAccount,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id,PUT,rmEditAccount,account.js,account.json,TODO,TODO,MANY
/api/accounts/:account_id,DELETE,rmAccountDelete,account.js,account.json,TODO,TODO,MANY
/api/accounts/get-list,GET,rmGetListAccount,account.js,account.json,TODO,TODO,MANY
/api/announces/,POST,rmAnnounceCreate,announce.js,announce.json,TODO,TODO,MANY
/api/announces/:announce_id,PUT,rmAnnounceUpdate,announce.js,announce.json,TODO,TODO,MANY
/api/announces/:announce_id,DELETE,rmAnnounceDelete,announce.js,announce.json,TODO,TODO,MANY
/api/announces/:announce_id,GET,rmAnnounceFindByID,announce.js,announce.json,TODO,TODO,MANY
/api/announces/pushnoti,GET,rmAnnouncepushNoti,announce.js,announce.json,TODO,TODO,MANY
/api/bank-accounts/,POST,rmBankAccountCreate,bank-account.js,bank-account.json,TODO,TODO,MANY
/api/bank-accounts/:bank_account_id,PUT,rmBankAccountUpdate,bank-account.js,bank-account.json,TODO,TODO,MANY
/api/bank-accounts/:bank_account_id,DELETE,rmBankAccountDelete,bank-account.js,bank-account.json,TODO,TODO,MANY
/api/bank-accounts/:bank_account_id,GET,rmBankAccountFindByID,bank-account.js,bank-account.json,TODO,TODO,MANY
/api/banks/,POST,rmBankCreate,bank.js,bank.json,TODO,TODO,MANY
/api/banks/:bank_id,PUT,rmBankUpdate,bank.js,bank.json,TODO,TODO,MANY
/api/banks/:bank_id,DELETE,rmBankDelete,bank.js,bank.json,TODO,TODO,MANY
/api/banks/:bank_id,GET,rmBankFindByID,bank.js,bank.json,TODO,TODO,MANY
/api/banks/,GET,rmBankGetList,bank.js,bank.json,TODO,TODO,MANY
/api/bookings/,POST,rmBookingCreate,booking.js,booking.json,TODO,TODO,MANY
/api/bookings/:booking_id,PUT,rmBookingUpdate,booking.js,booking.json,TODO,TODO,MANY
/api/bookings/:booking_id,DELETE,rmBookingDelete,booking.js,booking.json,TODO,TODO,MANY
/api/bookings/:booking_id,GET,rmBookingFindByID,booking.js,booking.json,TODO,TODO,MANY
/api/buildings/:building_id/view,GET,rmBuildingFindByID,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id,PUT,rmBuildingUpdate,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id,GET,rmGetBuildingData,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/waiting-list,GET,rmGetWaitingList,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/contracts,GET,rmGetContractList,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/finance/:year,GET,rmGetFinance,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/other-income,GET,rmGetOtherIncomeByMonth,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/expenses,GET,rmGetExpenseByMonth,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/invoices/:year/:month,GET,rmGetInvoiceByMonth,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/receipts/:year/:month,GET,rmGetReceiptByMonth,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/tax-invoice/:year/:month,GET,rmGetTaxInvoiceByMonth,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/banks,GET,rmBankList,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/announces,GET,rmAnnounceList,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/parcels,GET,rmParcelList,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/announce-mobile,GET,rmAnnounceMobileList,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/rental/:year/:month,GET,rmGetRentalManagementList,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/rental/:floor/:year/:month,POST,rmRentalBatchForCreate,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/payments/:floor/:year/:month,POST,rmPaymentBatchForCreate,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/floors,GET,rmBuildingFloorGet,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/floors,PUT,rmBuildingFloorUpdate,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/room-types,GET,rmBuildingRoomTypeGet,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/edit-room-list,GET,rmBuildingEditRoom,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/edit-room-list,PUT,rmBuildingRoomTypeUpdate,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/facilities,GET,rmBuildingFacilityGet,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/facilities,PUT,rmBuildingFacilityUpdate,building.js,building.json,TODO,TODO,MANY
/api/buildings/:building_id/config-meters,GET,rmBuildingConfigMeterGet,building.js,building.json,TODO,TODO,MANY
